workforce_event_id,employee_id,event_type,effective_at,source_ref,confirmed_by,confirmed_at,decision_provenance
WF_EMP_C0131_READY_CONFIRMED,EMP_C0131,READY_CONFIRMED,2027-09-11T09:00:00+09:00,"{""gap_ids"":[""GAP_EMP_C0131_M1_SKILL_05""],""human_rationale"":""개인별 필요한 업무/Gap의 검증과 후속 확인을 검토하여 업무 수행 준비를 확인했다."",""work_evidence_refs"":[""onboarding_tasks.csv#TASK_EMP_C0131_01/work_evidence"",""onboarding_tasks.csv#TASK_EMP_C0131_02/work_evidence"",""onboarding_tasks.csv#TASK_EMP_C0131_03/work_evidence""]}",MENTOR_POOL_01,2027-09-11T09:00:00+09:00,SYNTHETIC_HUMAN_SCENARIO
WF_EMP_C0166_JOINED,EMP_C0166,JOINED,2027-03-13T11:15:00+09:00,offers.csv#OF_APP0166,,,
WF_EMP_C0166_ONBOARDING_STARTED,EMP_C0166,ONBOARDING_STARTED,2027-03-13T11:15:00+09:00,onboarding_profiles.csv#EMP_C0166,,,
WF_EMP_C0166_RAMP_UP_EXTENDED,EMP_C0166,RAMP_UP_EXTENDED,2027-09-23T11:15:00+09:00,onboarding_tasks.csv#TASK_EMP_C0166_02/work_evidence,MENTOR_POOL_01,2027-09-23T11:15:00+09:00,SYNTHETIC_HUMAN_SCENARIO
WF_EMP_C0175_JOINED,EMP_C0175,JOINED,2027-03-19T11:10:00+09:00,offers.csv#OF_APP0175,,,
WF_EMP_C0175_ONBOARDING_STARTED,EMP_C0175,ONBOARDING_STARTED,2027-03-19T11:10:00+09:00,onboarding_profiles.csv#EMP_C0175,,,
WF_EMP_C0175_RAMP_UP_EXTENDED,EMP_C0175,RAMP_UP_EXTENDED,2027-09-29T11:10:00+09:00,onboarding_tasks.csv#TASK_EMP_C0175_08/work_evidence,MENTOR_POOL_01,2027-09-29T11:10:00+09:00,SYNTHETIC_HUMAN_SCENARIO
WF_EMP_C0181_JOINED,EMP_C0181,JOINED,2027-03-20T11:35:00+09:00,offers.csv#OF_APP0181,,,
WF_EMP_C0181_ONBOARDING_STARTED,EMP_C0181,ONBOARDING_STARTED,2027-03-20T11:35:00+09:00,onboarding_profiles.csv#EMP_C0181,,,
WF_EMP_C0181_RAMP_UP_EXTENDED,EMP_C0181,RAMP_UP_EXTENDED,2027-09-16T11:35:00+09:00,onboarding_tasks.csv#TASK_EMP_C0181_01/work_evidence,MENTOR_POOL_01,2027-09-16T11:35:00+09:00,SYNTHETIC_HUMAN_SCENARIO
WF_EMP_C0181_READY_CONFIRMED,EMP_C0181,READY_CONFIRMED,2027-10-16T11:35:00+09:00,"{""gap_ids"":[""GAP_EMP_C0181_M1_SKILL_03""],""human_rationale"":""개인별 필요한 업무/Gap의 검증과 후속 확인을 검토하여 업무 수행 준비를 확인했다."",""work_evidence_refs"":[""onboarding_tasks.csv#TASK_EMP_C0181_02/work_evidence"",""onboarding_tasks.csv#TASK_EMP_C0181_03/work_evidence"",""onboarding_tasks.csv#TASK_EMP_C0181_04/work_evidence""]}",MENTOR_POOL_01,2027-10-16T11:35:00+09:00,SYNTHETIC_HUMAN_SCENARIO
WF_EMP_C0186_JOINED,EMP_C0186,JOINED,2027-03-13T11:35:00+09:00,offers.csv#OF_APP0186,,,
WF_EMP_C0186_ONBOARDING_STARTED,EMP_C0186,ONBOARDING_STARTED,2027-03-13T11:35:00+09:00,onboarding_profiles.csv#EMP_C0186,,,
WF_EMP_C0186_RAMP_UP_EXTENDED,EMP_C0186,RAMP_UP_EXTENDED,2027-09-23T11:35:00+09:00,onboarding_tasks.csv#TASK_EMP_C0186_01/work_evidence,MENTOR_POOL_01,2027-09-23T11:35:00+09:00,SYNTHETIC_HUMAN_SCENARIO
WF_EMP_C0182_JOINED,EMP_C0182,JOINED,2027-03-10T11:00:00+09:00,offers.csv#OF_APP0182,,,
WF_EMP_C0182_ONBOARDING_STARTED,EMP_C0182,ONBOARDING_STARTED,2027-03-10T11:00:00+09:00,onboarding_profiles.csv#EMP_C0182,,,
WF_EMP_C0182_RAMP_UP_EXTENDED,EMP_C0182,RAMP_UP_EXTENDED,2027-09-13T11:00:00+09:00,onboarding_tasks.csv#TASK_EMP_C0182_03/work_evidence,MENTOR_POOL_01,2027-09-13T11:00:00+09:00,SYNTHETIC_HUMAN_SCENARIO
WF_EMP_C0182_READY_CONFIRMED,EMP_C0182,READY_CONFIRMED,2027-10-27T11:00:00+09:00,"{""gap_ids"":[""GAP_EMP_C0182_M1_SKILL_06""],""human_rationale"":""개인별 필요한 업무/Gap의 검증과 후속 확인을 검토하여 업무 수행 준비를 확인했다."",""work_evidence_refs"":[""onboarding_tasks.csv#TASK_EMP_C0182_01/work_evidence"",""onboarding_tasks.csv#TASK_EMP_C0182_02/work_evidence"",""onboarding_tasks.csv#TASK_EMP_C0182_04/work_evidence""]}",MENTOR_POOL_01,2027-10-27T11:00:00+09:00,SYNTHETIC_HUMAN_SCENARIO
WF_EMP_C0225_JOINED,EMP_C0225,JOINED,2027-03-12T12:05:00+09:00,offers.csv#OF_APP0225,,,
WF_EMP_C0225_ONBOARDING_STARTED,EMP_C0225,ONBOARDING_STARTED,2027-03-12T12:05:00+09:00,onboarding_profiles.csv#EMP_C0225,,,
WF_EMP_C0225_RAMP_UP_EXTENDED,EMP_C0225,RAMP_UP_EXTENDED,2027-09-11T12:05:00+09:00,onboarding_tasks.csv#TASK_EMP_C0225_01/work_evidence,MENTOR_POOL_01,2027-09-11T12:05:00+09:00,SYNTHETIC_HUMAN_SCENARIO
WF_EMP_C0225_READY_CONFIRMED,EMP_C0225,READY_CONFIRMED,2027-10-14T12:05:00+09:00,"{""gap_ids"":[""GAP_EMP_C0225_M1_SKILL_06""],""human_rationale"":""개인별 필요한 업무/Gap의 검증과 후속 확인을 검토하여 업무 수행 준비를 확인했다."",""work_evidence_refs"":[""onboarding_tasks.csv#TASK_EMP_C0225_02/work_evidence"",""onboarding_tasks.csv#TASK_EMP_C0225_03/work_evidence"",""onboarding_tasks.csv#TASK_EMP_C0225_04/work_evidence""]}",MENTOR_POOL_01,2027-10-14T12:05:00+09:00,SYNTHETIC_HUMAN_SCENARIO
WF_EMP_C0215_JOINED,EMP_C0215,JOINED,2027-03-28T10:50:00+09:00,offers.csv#OF_APP0215,,,
WF_EMP_C0215_ONBOARDING_STARTED,EMP_C0215,ONBOARDING_STARTED,2027-03-28T10:50:00+09:00,onboarding_profiles.csv#EMP_C0215,,,
WF_EMP_C0215_RAMP_UP_EXTENDED,EMP_C0215,RAMP_UP_EXTENDED,2027-09-27T10:50:00+09:00,onboarding_tasks.csv#TASK_EMP_C0215_05/work_evidence,MENTOR_POOL_01,2027-09-27T10:50:00+09:00,SYNTHETIC_HUMAN_SCENARIO
WF_EMP_C0238_JOINED,EMP_C0238,JOINED,2027-03-27T11:10:00+09:00,offers.csv#OF_APP0238,,,
WF_EMP_C0238_ONBOARDING_STARTED,EMP_C0238,ONBOARDING_STARTED,2027-03-27T11:10:00+09:00,onboarding_profiles.csv#EMP_C0238,,,
WF_EMP_C0238_RAMP_UP_EXTENDED,EMP_C0238,RAMP_UP_EXTENDED,2027-09-30T11:10:00+09:00,onboarding_tasks.csv#TASK_EMP_C0238_01/work_evidence,MENTOR_POOL_01,2027-09-30T11:10:00+09:00,SYNTHETIC_HUMAN_SCENARIO
WF_EMP_C0300_JOINED,EMP_C0300,JOINED,2027-03-24T11:10:00+09:00,offers.csv#OF_APP0300,,,
WF_EMP_C0300_ONBOARDING_STARTED,EMP_C0300,ONBOARDING_STARTED,2027-03-24T11:10:00+09:00,onboarding_profiles.csv#EMP_C0300,,,
WF_EMP_C0300_READY_CONFIRMED,EMP_C0300,READY_CONFIRMED,2027-09-27T11:10:00+09:00,"{""gap_ids"":[""GAP_EMP_C0300_M1_SKILL_06""],""human_rationale"":""개인별 필요한 업무/Gap의 검증과 후속 확인을 검토하여 업무 수행 준비를 확인했다."",""work_evidence_refs"":[""onboarding_tasks.csv#TASK_EMP_C0300_01/work_evidence"",""onboarding_tasks.csv#TASK_EMP_C0300_02/work_evidence"",""onboarding_tasks.csv#TASK_EMP_C0300_03/work_evidence""]}",MENTOR_POOL_01,2027-09-27T11:10:00+09:00,SYNTHETIC_HUMAN_SCENARIO
WF_EMP_C0272_JOINED,EMP_C0272,JOINED,2027-04-05T11:00:00+09:00,offers.csv#OF_APP0272,,,
WF_EMP_C0272_ONBOARDING_STARTED,EMP_C0272,ONBOARDING_STARTED,2027-04-05T11:00:00+09:00,onboarding_profiles.csv#EMP_C0272,,,
WF_EMP_C0272_RAMP_UP_EXTENDED,EMP_C0272,RAMP_UP_EXTENDED,2027-10-16T11:00:00+09:00,onboarding_tasks.csv#TASK_EMP_C0272_03/work_evidence,MENTOR_POOL_01,2027-10-16T11:00:00+09:00,SYNTHETIC_HUMAN_SCENARIO
