gap_id,employee_id,skill_id,gap_level,gap_source,source_evidence_id,final_decision_id,requirement_ref,rationale,confirmed_by,confirmed_at,decision_provenance
GAP_EMP_C0061_M1_SKILL_03,EMP_C0061,M1_SKILL_03,RECONFIRM_AT_WORK,SELECTION_EVIDENCE,EV_APP0061_FINAL_REVIEW_FOCUSED_FOLLOW_UP_M1_SKILL_03,FD_APP0061_RE_REVIEW,LOCAL_PIPELINE_HANDOFF,입사 후 로컬 배치 입력·복구 검증과 인수인계,MENTOR_POOL_01,2027-03-01T09:00:00+09:00,SYNTHETIC_HUMAN_SCENARIO
GAP_EMP_C0061_M1_SKILL_05,EMP_C0061,M1_SKILL_05,RECONFIRM_AT_WORK,SELECTION_EVIDENCE,EV_APP0061_SECOND_INTERVIEW_VALUES_BEHAVIOR_INTERVIEW_M1_SKILL_05,FD_APP0061_RE_REVIEW,LOCAL_TEAM_HANDOFF,입사 후 코드 리뷰·담당 범위 인수인계,MENTOR_POOL_01,2027-03-01T09:00:00+09:00,SYNTHETIC_HUMAN_SCENARIO
GAP_EMP_C0048_M1_SKILL_03,EMP_C0048,M1_SKILL_03,RECONFIRM_AT_WORK,SELECTION_EVIDENCE,EV_APP0048_FIRST_INTERVIEW_AI_CASE_M1_SKILL_03,FD_APP0048_RE_REVIEW,LOCAL_PIPELINE_HANDOFF,입사 후 로컬 배치 입력·복구 검증과 인수인계,MENTOR_POOL_01,2027-03-02T16:40:00+09:00,SYNTHETIC_HUMAN_SCENARIO
GAP_EMP_C0048_M1_SKILL_05,EMP_C0048,M1_SKILL_05,RECONFIRM_AT_WORK,SELECTION_EVIDENCE,EV_APP0048_FINAL_REVIEW_FOCUSED_FOLLOW_UP_M1_SKILL_05,FD_APP0048_RE_REVIEW,LOCAL_TEAM_HANDOFF,입사 후 코드 리뷰·담당 범위 인수인계,MENTOR_POOL_01,2027-03-02T16:40:00+09:00,SYNTHETIC_HUMAN_SCENARIO
GAP_EMP_C0128_M1_SKILL_03,EMP_C0128,M1_SKILL_03,RECONFIRM_AT_WORK,SELECTION_EVIDENCE,EV_APP0128_FIRST_INTERVIEW_AI_CASE_M1_SKILL_03,FD_APP0128_RE_REVIEW,LOCAL_PIPELINE_HANDOFF,입사 후 로컬 배치 입력·복구 검증과 인수인계,MENTOR_POOL_01,2027-03-03T17:45:00+09:00,SYNTHETIC_HUMAN_SCENARIO
GAP_EMP_C0128_M1_SKILL_05,EMP_C0128,M1_SKILL_05,RECONFIRM_AT_WORK,SELECTION_EVIDENCE,EV_APP0128_SECOND_INTERVIEW_VALUES_BEHAVIOR_INTERVIEW_M1_SKILL_05,FD_APP0128_RE_REVIEW,LOCAL_TEAM_HANDOFF,입사 후 코드 리뷰·담당 범위 인수인계,MENTOR_POOL_01,2027-03-03T17:45:00+09:00,SYNTHETIC_HUMAN_SCENARIO
GAP_EMP_C0128_M1_SKILL_06,EMP_C0128,M1_SKILL_06,DEVELOPMENT_REQUIRED,SELECTION_EVIDENCE,EV_APP0128_FIRST_INTERVIEW_PRACTITIONER_QA_M1_SKILL_06,FD_APP0128_RE_REVIEW,FINAL_LEARNABLE_GAP,Final Review의 학습 가능한 업무 Gap,MENTOR_POOL_01,2027-03-03T17:45:00+09:00,SYNTHETIC_HUMAN_SCENARIO
GAP_EMP_C0079_M1_SKILL_05,EMP_C0079,M1_SKILL_05,RECONFIRM_AT_WORK,SELECTION_EVIDENCE,EV_APP0079_SECOND_INTERVIEW_VALUES_BEHAVIOR_INTERVIEW_M1_SKILL_05,FD_APP0079_RE_REVIEW,LOCAL_TEAM_HANDOFF,입사 후 코드 리뷰·담당 범위 인수인계,MENTOR_POOL_01,2027-03-01T19:20:00+09:00,SYNTHETIC_HUMAN_SCENARIO
GAP_EMP_C0078_M1_SKILL_03,EMP_C0078,M1_SKILL_03,RECONFIRM_AT_WORK,SELECTION_EVIDENCE,EV_APP0078_FIRST_INTERVIEW_AI_CASE_M1_SKILL_03,FD_APP0078_RE_REVIEW,LOCAL_PIPELINE_HANDOFF,입사 후 로컬 배치 입력·복구 검증과 인수인계,MENTOR_POOL_01,2027-03-01T09:00:00+09:00,SYNTHETIC_HUMAN_SCENARIO
GAP_EMP_C0078_M1_SKILL_05,EMP_C0078,M1_SKILL_05,RECONFIRM_AT_WORK,SELECTION_EVIDENCE,EV_APP0078_FINAL_REVIEW_FOCUSED_FOLLOW_UP_M1_SKILL_05,FD_APP0078_RE_REVIEW,LOCAL_TEAM_HANDOFF,입사 후 코드 리뷰·담당 범위 인수인계,MENTOR_POOL_01,2027-03-01T09:00:00+09:00,SYNTHETIC_HUMAN_SCENARIO
GAP_EMP_C0123_M1_SKILL_03,EMP_C0123,M1_SKILL_03,RECONFIRM_AT_WORK,SELECTION_EVIDENCE,EV_APP0123_FIRST_INTERVIEW_AI_CASE_M1_SKILL_03,FD_APP0123_RE_REVIEW,LOCAL_PIPELINE_HANDOFF,입사 후 로컬 배치 입력·복구 검증과 인수인계,MENTOR_POOL_01,2027-03-03T13:15:00+09:00,SYNTHETIC_HUMAN_SCENARIO
GAP_EMP_C0102_M1_SKILL_06,EMP_C0102,M1_SKILL_06,DEVELOPMENT_REQUIRED,SELECTION_EVIDENCE,EV_APP0102_FIRST_INTERVIEW_PRACTITIONER_QA_M1_SKILL_06,FD_APP0102_INITIAL,FINAL_LEARNABLE_GAP,Final Review의 학습 가능한 업무 Gap,MENTOR_POOL_01,2027-03-02T13:25:00+09:00,SYNTHETIC_HUMAN_SCENARIO
GAP_EMP_C0068_M1_SKILL_06,EMP_C0068,M1_SKILL_06,DEVELOPMENT_REQUIRED,SELECTION_EVIDENCE,EV_APP0068_FIRST_INTERVIEW_PRACTITIONER_QA_M1_SKILL_06,FD_APP0068_INITIAL,FINAL_LEARNABLE_GAP,Final Review의 학습 가능한 업무 Gap,MENTOR_POOL_01,2027-03-02T11:35:00+09:00,SYNTHETIC_HUMAN_SCENARIO
GAP_EMP_C0140_M1_SKILL_03,EMP_C0140,M1_SKILL_03,RECONFIRM_AT_WORK,SELECTION_EVIDENCE,EV_APP0140_FIRST_INTERVIEW_AI_CASE_M1_SKILL_03,FD_APP0140_RE_REVIEW,LOCAL_PIPELINE_HANDOFF,입사 후 로컬 배치 입력·복구 검증과 인수인계,MENTOR_POOL_01,2027-03-12T12:40:00+09:00,SYNTHETIC_HUMAN_SCENARIO
GAP_EMP_C0140_M1_SKILL_06,EMP_C0140,M1_SKILL_06,DEVELOPMENT_REQUIRED,SELECTION_EVIDENCE,EV_APP0140_FIRST_INTERVIEW_PRACTITIONER_QA_M1_SKILL_06,FD_APP0140_RE_REVIEW,FINAL_LEARNABLE_GAP,Final Review의 학습 가능한 업무 Gap,MENTOR_POOL_01,2027-03-12T12:40:00+09:00,SYNTHETIC_HUMAN_SCENARIO
GAP_EMP_C0121_M1_SKILL_03,EMP_C0121,M1_SKILL_03,RECONFIRM_AT_WORK,SELECTION_EVIDENCE,EV_APP0121_FIRST_INTERVIEW_AI_CASE_M1_SKILL_03,FD_APP0121_RE_REVIEW,LOCAL_PIPELINE_HANDOFF,입사 후 로컬 배치 입력·복구 검증과 인수인계,MENTOR_POOL_01,2027-03-10T15:00:00+09:00,SYNTHETIC_HUMAN_SCENARIO
GAP_EMP_C0121_M1_SKILL_06,EMP_C0121,M1_SKILL_06,DEVELOPMENT_REQUIRED,SELECTION_EVIDENCE,EV_APP0121_FIRST_INTERVIEW_PRACTITIONER_QA_M1_SKILL_06,FD_APP0121_RE_REVIEW,FINAL_LEARNABLE_GAP,Final Review의 학습 가능한 업무 Gap,MENTOR_POOL_01,2027-03-10T15:00:00+09:00,SYNTHETIC_HUMAN_SCENARIO
GAP_EMP_C0142_M1_SKILL_03,EMP_C0142,M1_SKILL_03,RECONFIRM_AT_WORK,SELECTION_EVIDENCE,EV_APP0142_FIRST_INTERVIEW_AI_CASE_M1_SKILL_03,FD_APP0142_RE_REVIEW,LOCAL_PIPELINE_HANDOFF,입사 후 로컬 배치 입력·복구 검증과 인수인계,MENTOR_POOL_01,2027-03-19T14:55:00+09:00,SYNTHETIC_HUMAN_SCENARIO
GAP_EMP_C0107_M1_SKILL_02,EMP_C0107,M1_SKILL_02,RECONFIRM_AT_WORK,SELECTION_EVIDENCE,EV_APP0107_FINAL_REVIEW_FOCUSED_FOLLOW_UP_M1_SKILL_02,FD_APP0107_RE_REVIEW,ACCEPTED_UNCERTAINTY,재검토에서 수용한 미확인 범위의 업무 준비 확인,MENTOR_POOL_01,2027-03-04T17:30:00+09:00,SYNTHETIC_HUMAN_SCENARIO
GAP_EMP_C0107_M1_SKILL_03,EMP_C0107,M1_SKILL_03,RECONFIRM_AT_WORK,SELECTION_EVIDENCE,EV_APP0107_FIRST_INTERVIEW_AI_CASE_M1_SKILL_03,FD_APP0107_RE_REVIEW,LOCAL_PIPELINE_HANDOFF,입사 후 로컬 배치 입력·복구 검증과 인수인계,MENTOR_POOL_01,2027-03-04T17:30:00+09:00,SYNTHETIC_HUMAN_SCENARIO
GAP_EMP_C0107_M1_SKILL_05,EMP_C0107,M1_SKILL_05,RECONFIRM_AT_WORK,SELECTION_EVIDENCE,EV_APP0107_SECOND_INTERVIEW_VALUES_BEHAVIOR_INTERVIEW_M1_SKILL_05,FD_APP0107_RE_REVIEW,LOCAL_TEAM_HANDOFF,입사 후 코드 리뷰·담당 범위 인수인계,MENTOR_POOL_01,2027-03-04T17:30:00+09:00,SYNTHETIC_HUMAN_SCENARIO
GAP_EMP_C0113_M1_SKILL_05,EMP_C0113,M1_SKILL_05,RECONFIRM_AT_WORK,SELECTION_EVIDENCE,EV_APP0113_SECOND_INTERVIEW_VALUES_BEHAVIOR_INTERVIEW_M1_SKILL_05,FD_APP0113_INITIAL,LOCAL_TEAM_HANDOFF,입사 후 코드 리뷰·담당 범위 인수인계,MENTOR_POOL_01,2027-03-06T16:45:00+09:00,SYNTHETIC_HUMAN_SCENARIO
GAP_EMP_C0135_M1_SKILL_03,EMP_C0135,M1_SKILL_03,RECONFIRM_AT_WORK,SELECTION_EVIDENCE,EV_APP0135_FIRST_INTERVIEW_AI_CASE_M1_SKILL_03,FD_APP0135_INITIAL,LOCAL_PIPELINE_HANDOFF,입사 후 로컬 배치 입력·복구 검증과 인수인계,MENTOR_POOL_01,2027-03-07T13:20:00+09:00,SYNTHETIC_HUMAN_SCENARIO
GAP_EMP_C0135_M1_SKILL_06,EMP_C0135,M1_SKILL_06,DEVELOPMENT_REQUIRED,SELECTION_EVIDENCE,EV_APP0135_FIRST_INTERVIEW_PRACTITIONER_QA_M1_SKILL_06,FD_APP0135_INITIAL,FINAL_LEARNABLE_GAP,Final Review의 학습 가능한 업무 Gap,MENTOR_POOL_01,2027-03-07T13:20:00+09:00,SYNTHETIC_HUMAN_SCENARIO
GAP_EMP_C0151_M1_SKILL_03,EMP_C0151,M1_SKILL_03,RECONFIRM_AT_WORK,SELECTION_EVIDENCE,EV_APP0151_FIRST_INTERVIEW_AI_CASE_M1_SKILL_03,FD_APP0151_RE_REVIEW,LOCAL_PIPELINE_HANDOFF,입사 후 로컬 배치 입력·복구 검증과 인수인계,MENTOR_POOL_01,2027-03-18T12:55:00+09:00,SYNTHETIC_HUMAN_SCENARIO
GAP_EMP_C0151_M1_SKILL_05,EMP_C0151,M1_SKILL_05,RECONFIRM_AT_WORK,SELECTION_EVIDENCE,EV_APP0151_FINAL_REVIEW_FOCUSED_FOLLOW_UP_M1_SKILL_05,FD_APP0151_RE_REVIEW,LOCAL_TEAM_HANDOFF,입사 후 코드 리뷰·담당 범위 인수인계,MENTOR_POOL_01,2027-03-18T12:55:00+09:00,SYNTHETIC_HUMAN_SCENARIO
GAP_EMP_C0175_M1_SKILL_03,EMP_C0175,M1_SKILL_03,RECONFIRM_AT_WORK,SELECTION_EVIDENCE,EV_APP0175_FIRST_INTERVIEW_AI_CASE_M1_SKILL_03,FD_APP0175_INITIAL,LOCAL_PIPELINE_HANDOFF,입사 후 로컬 배치 입력·복구 검증과 인수인계,MENTOR_POOL_01,2027-03-12T13:55:00+09:00,SYNTHETIC_HUMAN_SCENARIO
GAP_EMP_C0175_M1_SKILL_05,EMP_C0175,M1_SKILL_05,RECONFIRM_AT_WORK,SELECTION_EVIDENCE,EV_APP0175_SECOND_INTERVIEW_VALUES_BEHAVIOR_INTERVIEW_M1_SKILL_05,FD_APP0175_INITIAL,LOCAL_TEAM_HANDOFF,입사 후 코드 리뷰·담당 범위 인수인계,MENTOR_POOL_01,2027-03-12T13:55:00+09:00,SYNTHETIC_HUMAN_SCENARIO
GAP_EMP_C0175_M1_SKILL_06,EMP_C0175,M1_SKILL_06,DEVELOPMENT_REQUIRED,SELECTION_EVIDENCE,EV_APP0175_FIRST_INTERVIEW_PRACTITIONER_QA_M1_SKILL_06,FD_APP0175_INITIAL,FINAL_LEARNABLE_GAP,Final Review의 학습 가능한 업무 Gap,MENTOR_POOL_01,2027-03-12T13:55:00+09:00,SYNTHETIC_HUMAN_SCENARIO
GAP_EMP_C0164_M1_SKILL_03,EMP_C0164,M1_SKILL_03,RECONFIRM_AT_WORK,SELECTION_EVIDENCE,EV_APP0164_FIRST_INTERVIEW_AI_CASE_M1_SKILL_03,FD_APP0164_RE_REVIEW,LOCAL_PIPELINE_HANDOFF,입사 후 로컬 배치 입력·복구 검증과 인수인계,MENTOR_POOL_01,2027-03-08T16:40:00+09:00,SYNTHETIC_HUMAN_SCENARIO
GAP_EMP_C0164_M1_SKILL_06,EMP_C0164,M1_SKILL_06,DEVELOPMENT_REQUIRED,SELECTION_EVIDENCE,EV_APP0164_FIRST_INTERVIEW_PRACTITIONER_QA_M1_SKILL_06,FD_APP0164_RE_REVIEW,FINAL_LEARNABLE_GAP,Final Review의 학습 가능한 업무 Gap,MENTOR_POOL_01,2027-03-08T16:40:00+09:00,SYNTHETIC_HUMAN_SCENARIO
GAP_EMP_C0131_M1_SKILL_05,EMP_C0131,M1_SKILL_05,RECONFIRM_AT_WORK,SELECTION_EVIDENCE,EV_APP0131_SECOND_INTERVIEW_VALUES_BEHAVIOR_INTERVIEW_M1_SKILL_05,FD_APP0131_INITIAL,LOCAL_TEAM_HANDOFF,입사 후 코드 리뷰·담당 범위 인수인계,MENTOR_POOL_01,2027-03-01T09:00:00+09:00,SYNTHETIC_HUMAN_SCENARIO
GAP_EMP_C0148_M1_SKILL_03,EMP_C0148,M1_SKILL_03,RECONFIRM_AT_WORK,SELECTION_EVIDENCE,EV_APP0148_FIRST_INTERVIEW_AI_CASE_M1_SKILL_03,FD_APP0148_RE_REVIEW,LOCAL_PIPELINE_HANDOFF,입사 후 로컬 배치 입력·복구 검증과 인수인계,MENTOR_POOL_01,2027-03-15T19:30:00+09:00,SYNTHETIC_HUMAN_SCENARIO
GAP_EMP_C0194_M1_SKILL_05,EMP_C0194,M1_SKILL_05,RECONFIRM_AT_WORK,SELECTION_EVIDENCE,EV_APP0194_SECOND_INTERVIEW_VALUES_BEHAVIOR_INTERVIEW_M1_SKILL_05,FD_APP0194_INITIAL,LOCAL_TEAM_HANDOFF,입사 후 코드 리뷰·담당 범위 인수인계,MENTOR_POOL_01,2027-03-11T18:10:00+09:00,SYNTHETIC_HUMAN_SCENARIO
GAP_EMP_C0167_M1_SKILL_03,EMP_C0167,M1_SKILL_03,RECONFIRM_AT_WORK,SELECTION_EVIDENCE,EV_APP0167_FIRST_INTERVIEW_AI_CASE_M1_SKILL_03,FD_APP0167_RE_REVIEW,LOCAL_PIPELINE_HANDOFF,입사 후 로컬 배치 입력·복구 검증과 인수인계,MENTOR_POOL_01,2027-03-21T17:00:00+09:00,SYNTHETIC_HUMAN_SCENARIO
GAP_EMP_C0167_M1_SKILL_05,EMP_C0167,M1_SKILL_05,RECONFIRM_AT_WORK,SELECTION_EVIDENCE,EV_APP0167_SECOND_INTERVIEW_VALUES_BEHAVIOR_INTERVIEW_M1_SKILL_05,FD_APP0167_RE_REVIEW,LOCAL_TEAM_HANDOFF,입사 후 코드 리뷰·담당 범위 인수인계,MENTOR_POOL_01,2027-03-21T17:00:00+09:00,SYNTHETIC_HUMAN_SCENARIO
GAP_EMP_C0167_M1_SKILL_06,EMP_C0167,M1_SKILL_06,DEVELOPMENT_REQUIRED,SELECTION_EVIDENCE,EV_APP0167_FIRST_INTERVIEW_PRACTITIONER_QA_M1_SKILL_06,FD_APP0167_RE_REVIEW,FINAL_LEARNABLE_GAP,Final Review의 학습 가능한 업무 Gap,MENTOR_POOL_01,2027-03-21T17:00:00+09:00,SYNTHETIC_HUMAN_SCENARIO
GAP_EMP_C0199_M1_SKILL_03,EMP_C0199,M1_SKILL_03,RECONFIRM_AT_WORK,SELECTION_EVIDENCE,EV_APP0199_FIRST_INTERVIEW_AI_CASE_M1_SKILL_03,FD_APP0199_RE_REVIEW,LOCAL_PIPELINE_HANDOFF,입사 후 로컬 배치 입력·복구 검증과 인수인계,MENTOR_POOL_01,2027-03-14T16:25:00+09:00,SYNTHETIC_HUMAN_SCENARIO
GAP_EMP_C0199_M1_SKILL_05,EMP_C0199,M1_SKILL_05,RECONFIRM_AT_WORK,SELECTION_EVIDENCE,EV_APP0199_SECOND_INTERVIEW_VALUES_BEHAVIOR_INTERVIEW_M1_SKILL_05,FD_APP0199_RE_REVIEW,LOCAL_TEAM_HANDOFF,입사 후 코드 리뷰·담당 범위 인수인계,MENTOR_POOL_01,2027-03-14T16:25:00+09:00,SYNTHETIC_HUMAN_SCENARIO
GAP_EMP_C0186_M1_SKILL_03,EMP_C0186,M1_SKILL_03,RECONFIRM_AT_WORK,SELECTION_EVIDENCE,EV_APP0186_FIRST_INTERVIEW_AI_CASE_M1_SKILL_03,FD_APP0186_INITIAL,LOCAL_PIPELINE_HANDOFF,입사 후 로컬 배치 입력·복구 검증과 인수인계,MENTOR_POOL_01,2027-03-12T13:35:00+09:00,SYNTHETIC_HUMAN_SCENARIO
GAP_EMP_C0186_M1_SKILL_05,EMP_C0186,M1_SKILL_05,RECONFIRM_AT_WORK,SELECTION_EVIDENCE,EV_APP0186_SECOND_INTERVIEW_VALUES_BEHAVIOR_INTERVIEW_M1_SKILL_05,FD_APP0186_INITIAL,LOCAL_TEAM_HANDOFF,입사 후 코드 리뷰·담당 범위 인수인계,MENTOR_POOL_01,2027-03-12T13:35:00+09:00,SYNTHETIC_HUMAN_SCENARIO
GAP_EMP_C0186_M1_SKILL_06,EMP_C0186,M1_SKILL_06,DEVELOPMENT_REQUIRED,SELECTION_EVIDENCE,EV_APP0186_FIRST_INTERVIEW_PRACTITIONER_QA_M1_SKILL_06,FD_APP0186_INITIAL,FINAL_LEARNABLE_GAP,Final Review의 학습 가능한 업무 Gap,MENTOR_POOL_01,2027-03-12T13:35:00+09:00,SYNTHETIC_HUMAN_SCENARIO
GAP_EMP_C0173_M1_SKILL_03,EMP_C0173,M1_SKILL_03,RECONFIRM_AT_WORK,SELECTION_EVIDENCE,EV_APP0173_FIRST_INTERVIEW_AI_CASE_M1_SKILL_03,FD_APP0173_RE_REVIEW,LOCAL_PIPELINE_HANDOFF,입사 후 로컬 배치 입력·복구 검증과 인수인계,MENTOR_POOL_01,2027-03-09T19:50:00+09:00,SYNTHETIC_HUMAN_SCENARIO
GAP_EMP_C0173_M1_SKILL_05,EMP_C0173,M1_SKILL_05,RECONFIRM_AT_WORK,SELECTION_EVIDENCE,EV_APP0173_SECOND_INTERVIEW_VALUES_BEHAVIOR_INTERVIEW_M1_SKILL_05,FD_APP0173_RE_REVIEW,LOCAL_TEAM_HANDOFF,입사 후 코드 리뷰·담당 범위 인수인계,MENTOR_POOL_01,2027-03-09T19:50:00+09:00,SYNTHETIC_HUMAN_SCENARIO
GAP_EMP_C0181_M1_SKILL_03,EMP_C0181,M1_SKILL_03,RECONFIRM_AT_WORK,SELECTION_EVIDENCE,EV_APP0181_FIRST_INTERVIEW_AI_CASE_M1_SKILL_03,FD_APP0181_INITIAL,LOCAL_PIPELINE_HANDOFF,입사 후 로컬 배치 입력·복구 검증과 인수인계,MENTOR_POOL_01,2027-03-22T12:00:00+09:00,SYNTHETIC_HUMAN_SCENARIO
GAP_EMP_C0202_M1_SKILL_06,EMP_C0202,M1_SKILL_06,DEVELOPMENT_REQUIRED,SELECTION_EVIDENCE,EV_APP0202_FIRST_INTERVIEW_PRACTITIONER_QA_M1_SKILL_06,FD_APP0202_RE_REVIEW,FINAL_LEARNABLE_GAP,Final Review의 학습 가능한 업무 Gap,MENTOR_POOL_01,2027-03-17T13:40:00+09:00,SYNTHETIC_HUMAN_SCENARIO
GAP_EMP_C0166_M1_SKILL_05,EMP_C0166,M1_SKILL_05,RECONFIRM_AT_WORK,SELECTION_EVIDENCE,EV_APP0166_SECOND_INTERVIEW_VALUES_BEHAVIOR_INTERVIEW_M1_SKILL_05,FD_APP0166_INITIAL,LOCAL_TEAM_HANDOFF,입사 후 코드 리뷰·담당 범위 인수인계,MENTOR_POOL_01,2027-03-19T11:55:00+09:00,SYNTHETIC_HUMAN_SCENARIO
GAP_EMP_C0166_M1_SKILL_06,EMP_C0166,M1_SKILL_06,DEVELOPMENT_REQUIRED,SELECTION_EVIDENCE,EV_APP0166_FIRST_INTERVIEW_PRACTITIONER_QA_M1_SKILL_06,FD_APP0166_INITIAL,FINAL_LEARNABLE_GAP,Final Review의 학습 가능한 업무 Gap,MENTOR_POOL_01,2027-03-19T11:55:00+09:00,SYNTHETIC_HUMAN_SCENARIO
GAP_EMP_C0225_M1_SKILL_06,EMP_C0225,M1_SKILL_06,DEVELOPMENT_REQUIRED,SELECTION_EVIDENCE,EV_APP0225_FIRST_INTERVIEW_PRACTITIONER_QA_M1_SKILL_06,FD_APP0225_INITIAL,FINAL_LEARNABLE_GAP,Final Review의 학습 가능한 업무 Gap,MENTOR_POOL_01,2027-03-10T13:50:00+09:00,SYNTHETIC_HUMAN_SCENARIO
GAP_EMP_C0182_M1_SKILL_06,EMP_C0182,M1_SKILL_06,DEVELOPMENT_REQUIRED,SELECTION_EVIDENCE,EV_APP0182_FIRST_INTERVIEW_PRACTITIONER_QA_M1_SKILL_06,FD_APP0182_INITIAL,FINAL_LEARNABLE_GAP,Final Review의 학습 가능한 업무 Gap,MENTOR_POOL_01,2027-03-12T14:05:00+09:00,SYNTHETIC_HUMAN_SCENARIO
GAP_EMP_C0209_M1_SKILL_03,EMP_C0209,M1_SKILL_03,RECONFIRM_AT_WORK,SELECTION_EVIDENCE,EV_APP0209_FIRST_INTERVIEW_AI_CASE_M1_SKILL_03,FD_APP0209_INITIAL,LOCAL_PIPELINE_HANDOFF,입사 후 로컬 배치 입력·복구 검증과 인수인계,MENTOR_POOL_01,2027-03-17T12:50:00+09:00,SYNTHETIC_HUMAN_SCENARIO
GAP_EMP_C0235_M1_SKILL_06,EMP_C0235,M1_SKILL_06,DEVELOPMENT_REQUIRED,SELECTION_EVIDENCE,EV_APP0235_FIRST_INTERVIEW_PRACTITIONER_QA_M1_SKILL_06,FD_APP0235_RE_REVIEW,FINAL_LEARNABLE_GAP,Final Review의 학습 가능한 업무 Gap,MENTOR_POOL_01,2027-03-20T14:05:00+09:00,SYNTHETIC_HUMAN_SCENARIO
