offer_id,application_id,candidate_id,offered_at,expected_join_at,response_deadline
OF_APP0096,APP0096,C0096,2027-01-29T12:30:00+09:00,2027-03-01T09:00:00+09:00,2027-02-12T12:30:00+09:00
OF_APP0123,APP0123,C0123,2027-02-10T13:15:00+09:00,2027-03-03T13:15:00+09:00,2027-02-24T13:15:00+09:00
OF_APP0082,APP0082,C0082,2027-02-03T19:45:00+09:00,2027-03-03T19:45:00+09:00,2027-02-17T19:45:00+09:00
OF_APP0102,APP0102,C0102,2027-02-02T13:25:00+09:00,2027-03-02T13:25:00+09:00,2027-02-16T13:25:00+09:00
OF_APP0068,APP0068,C0068,2027-02-09T11:35:00+09:00,2027-03-02T11:35:00+09:00,2027-02-23T11:35:00+09:00
OF_APP0140,APP0140,C0140,2027-02-12T12:40:00+09:00,2027-03-12T12:40:00+09:00,2027-02-26T12:40:00+09:00
OF_APP0116,APP0116,C0116,2027-02-10T13:25:00+09:00,2027-03-03T13:25:00+09:00,2027-02-24T13:25:00+09:00
OF_APP0121,APP0121,C0121,2027-02-17T15:00:00+09:00,2027-03-10T15:00:00+09:00,2027-03-03T15:00:00+09:00
OF_APP0142,APP0142,C0142,2027-02-19T14:55:00+09:00,2027-03-19T14:55:00+09:00,2027-03-05T14:55:00+09:00
OF_APP0107,APP0107,C0107,2027-02-18T17:30:00+09:00,2027-03-04T17:30:00+09:00,2027-03-04T17:30:00+09:00
OF_APP0155,APP0155,C0155,2027-02-14T12:45:00+09:00,2027-03-01T09:00:00+09:00,2027-02-28T12:45:00+09:00
OF_APP0113,APP0113,C0113,2027-02-06T16:45:00+09:00,2027-03-06T16:45:00+09:00,2027-02-20T16:45:00+09:00
OF_APP0124,APP0124,C0124,2027-02-16T14:30:00+09:00,2027-03-09T14:30:00+09:00,2027-03-02T14:30:00+09:00
OF_APP0110,APP0110,C0110,2027-02-24T13:15:00+09:00,2027-03-24T13:15:00+09:00,2027-03-10T13:15:00+09:00
OF_APP0135,APP0135,C0135,2027-02-14T13:20:00+09:00,2027-03-07T13:20:00+09:00,2027-02-28T13:20:00+09:00
OF_APP0151,APP0151,C0151,2027-02-18T12:55:00+09:00,2027-03-18T12:55:00+09:00,2027-03-04T12:55:00+09:00
OF_APP0175,APP0175,C0175,2027-02-12T13:55:00+09:00,2027-03-12T13:55:00+09:00,2027-02-26T13:55:00+09:00
OF_APP0164,APP0164,C0164,2027-02-15T16:40:00+09:00,2027-03-08T16:40:00+09:00,2027-03-01T16:40:00+09:00
OF_APP0136,APP0136,C0136,2027-02-14T12:00:00+09:00,2027-03-14T12:00:00+09:00,2027-02-28T12:00:00+09:00
OF_APP0131,APP0131,C0131,2027-02-14T13:10:00+09:00,2027-03-01T09:00:00+09:00,2027-02-28T13:10:00+09:00
OF_APP0149,APP0149,C0149,2027-02-15T14:30:00+09:00,2027-03-15T14:30:00+09:00,2027-03-01T14:30:00+09:00
OF_APP0161,APP0161,C0161,2027-02-24T17:50:00+09:00,2027-03-17T17:50:00+09:00,2027-03-10T17:50:00+09:00
OF_APP0154,APP0154,C0154,2027-03-03T18:35:00+09:00,2027-03-24T18:35:00+09:00,2027-03-17T18:35:00+09:00
OF_APP0119,APP0119,C0119,2027-02-24T13:20:00+09:00,2027-03-24T13:20:00+09:00,2027-03-10T13:20:00+09:00
OF_APP0159,APP0159,C0159,2027-02-14T12:25:00+09:00,2027-03-14T12:25:00+09:00,2027-02-28T12:25:00+09:00
OF_APP0148,APP0148,C0148,2027-03-01T19:30:00+09:00,2027-03-15T19:30:00+09:00,2027-03-15T19:30:00+09:00
OF_APP0194,APP0194,C0194,2027-02-18T18:10:00+09:00,2027-03-11T18:10:00+09:00,2027-03-04T18:10:00+09:00
OF_APP0167,APP0167,C0167,2027-02-28T17:00:00+09:00,2027-03-21T17:00:00+09:00,2027-03-14T17:00:00+09:00
OF_APP0199,APP0199,C0199,2027-02-28T16:25:00+09:00,2027-03-14T16:25:00+09:00,2027-03-14T16:25:00+09:00
OF_APP0186,APP0186,C0186,2027-02-26T13:35:00+09:00,2027-03-12T13:35:00+09:00,2027-03-12T13:35:00+09:00
OF_APP0162,APP0162,C0162,2027-03-04T14:10:00+09:00,2027-03-25T14:10:00+09:00,2027-03-18T14:10:00+09:00
OF_APP0173,APP0173,C0173,2027-02-23T19:50:00+09:00,2027-03-09T19:50:00+09:00,2027-03-09T19:50:00+09:00
OF_APP0181,APP0181,C0181,2027-03-01T12:00:00+09:00,2027-03-22T12:00:00+09:00,2027-03-15T12:00:00+09:00
OF_APP0202,APP0202,C0202,2027-03-03T13:40:00+09:00,2027-03-17T13:40:00+09:00,2027-03-17T13:40:00+09:00
OF_APP0163,APP0163,C0163,2027-03-03T14:10:00+09:00,2027-03-31T14:10:00+09:00,2027-03-17T14:10:00+09:00
OF_APP0166,APP0166,C0166,2027-02-19T11:55:00+09:00,2027-03-19T11:55:00+09:00,2027-03-05T11:55:00+09:00
OF_APP0225,APP0225,C0225,2027-02-24T13:50:00+09:00,2027-03-10T13:50:00+09:00,2027-03-10T13:50:00+09:00
OF_APP0182,APP0182,C0182,2027-02-26T14:05:00+09:00,2027-03-12T14:05:00+09:00,2027-03-12T14:05:00+09:00
OF_APP0209,APP0209,C0209,2027-03-03T12:50:00+09:00,2027-03-17T12:50:00+09:00,2027-03-17T12:50:00+09:00
OF_APP0235,APP0235,C0235,2027-03-06T14:05:00+09:00,2027-03-20T14:05:00+09:00,2027-03-20T14:05:00+09:00
OF_APP0196,APP0196,C0196,2027-02-26T11:55:00+09:00,2027-03-19T11:55:00+09:00,2027-03-12T11:55:00+09:00
OF_APP0210,APP0210,C0210,2027-03-07T14:05:00+09:00,2027-03-21T14:05:00+09:00,2027-03-21T14:05:00+09:00
OF_APP0220,APP0220,C0220,2027-03-09T16:50:00+09:00,2027-04-06T16:50:00+09:00,2027-03-23T16:50:00+09:00
OF_APP0205,APP0205,C0205,2027-03-04T13:15:00+09:00,2027-03-18T13:15:00+09:00,2027-03-18T13:15:00+09:00
OF_APP0216,APP0216,C0216,2027-03-05T14:30:00+09:00,2027-03-19T14:30:00+09:00,2027-03-19T14:30:00+09:00
OF_APP0243,APP0243,C0243,2027-03-08T15:50:00+09:00,2027-03-22T15:50:00+09:00,2027-03-22T15:50:00+09:00
OF_APP0254,APP0254,C0254,2027-03-09T14:35:00+09:00,2027-03-23T14:35:00+09:00,2027-03-23T14:35:00+09:00
OF_APP0238,APP0238,C0238,2027-03-04T14:30:00+09:00,2027-03-25T14:30:00+09:00,2027-03-18T14:30:00+09:00
OF_APP0253,APP0253,C0253,2027-03-12T16:00:00+09:00,2027-04-02T16:00:00+09:00,2027-03-26T16:00:00+09:00
OF_APP0215,APP0215,C0215,2027-03-06T11:50:00+09:00,2027-04-03T11:50:00+09:00,2027-03-20T11:50:00+09:00
OF_APP0264,APP0264,C0264,2027-03-10T16:55:00+09:00,2027-03-24T16:55:00+09:00,2027-03-24T16:55:00+09:00
OF_APP0285,APP0285,C0285,2027-03-17T14:05:00+09:00,2027-03-31T14:05:00+09:00,2027-03-31T14:05:00+09:00
OF_APP0246,APP0246,C0246,2027-03-12T16:25:00+09:00,2027-03-26T16:25:00+09:00,2027-03-26T16:25:00+09:00
OF_APP0256,APP0256,C0256,2027-03-13T11:55:00+09:00,2027-04-10T11:55:00+09:00,2027-03-27T11:55:00+09:00
OF_APP0297,APP0297,C0297,2027-03-13T18:30:00+09:00,2027-04-10T18:30:00+09:00,2027-03-27T18:30:00+09:00
OF_APP0299,APP0299,C0299,2027-03-16T17:15:00+09:00,2027-03-30T17:15:00+09:00,2027-03-30T17:15:00+09:00
OF_APP0319,APP0319,C0319,2027-03-16T15:45:00+09:00,2027-04-06T15:45:00+09:00,2027-03-30T15:45:00+09:00
OF_APP0300,APP0300,C0300,2027-03-12T13:35:00+09:00,2027-03-26T13:35:00+09:00,2027-03-26T13:35:00+09:00
OF_APP0272,APP0272,C0272,2027-03-12T12:20:00+09:00,2027-04-02T12:20:00+09:00,2027-03-26T12:20:00+09:00
OF_APP0286,APP0286,C0286,2027-03-23T13:10:00+09:00,2027-04-06T13:10:00+09:00,2027-04-06T13:10:00+09:00
OF_APP0309,APP0309,C0309,2027-03-22T15:15:00+09:00,2027-04-05T15:15:00+09:00,2027-04-05T15:15:00+09:00
OF_APP0265,APP0265,C0265,2027-03-29T12:45:00+09:00,2027-04-12T12:45:00+09:00,2027-04-12T12:45:00+09:00
OF_APP0334,APP0334,C0334,2027-03-17T13:00:00+09:00,2027-04-14T13:00:00+09:00,2027-03-31T13:00:00+09:00
OF_APP0301,APP0301,C0301,2027-03-16T13:45:00+09:00,2027-04-13T13:45:00+09:00,2027-03-30T13:45:00+09:00
OF_APP0318,APP0318,C0318,2027-03-29T14:30:00+09:00,2027-04-12T14:30:00+09:00,2027-04-12T14:30:00+09:00
OF_APP0342,APP0342,C0342,2027-03-20T11:45:00+09:00,2027-04-17T11:45:00+09:00,2027-04-03T11:45:00+09:00
OF_APP0314,APP0314,C0314,2027-04-03T12:55:00+09:00,2027-04-24T12:55:00+09:00,2027-04-17T12:55:00+09:00
