employee_id,source_candidate_id,joined_at,onboarding_started_at,planned_ready_at
EMP_C0225,C0225,2027-03-10T13:50:00+09:00,2027-03-10T13:50:00+09:00,2027-09-06T13:50:00+09:00
EMP_C0182,C0182,2027-03-12T14:05:00+09:00,2027-03-12T14:05:00+09:00,2027-09-08T14:05:00+09:00
EMP_C0209,C0209,2027-03-17T12:50:00+09:00,2027-03-17T12:50:00+09:00,2027-09-13T12:50:00+09:00
EMP_C0235,C0235,2027-03-20T14:05:00+09:00,2027-03-20T14:05:00+09:00,2027-09-16T14:05:00+09:00
EMP_C0196,C0196,2027-03-19T11:55:00+09:00,2027-03-19T11:55:00+09:00,2027-09-15T11:55:00+09:00
EMP_C0210,C0210,2027-03-21T14:05:00+09:00,2027-03-21T14:05:00+09:00,2027-09-17T14:05:00+09:00
EMP_C0220,C0220,2027-04-06T16:50:00+09:00,2027-04-06T16:50:00+09:00,2027-10-03T16:50:00+09:00
EMP_C0205,C0205,2027-03-18T13:15:00+09:00,2027-03-18T13:15:00+09:00,2027-09-14T13:15:00+09:00
EMP_C0243,C0243,2027-03-22T15:50:00+09:00,2027-03-22T15:50:00+09:00,2027-09-18T15:50:00+09:00
EMP_C0254,C0254,2027-03-23T14:35:00+09:00,2027-03-23T14:35:00+09:00,2027-09-19T14:35:00+09:00
EMP_C0238,C0238,2027-03-25T14:30:00+09:00,2027-03-25T14:30:00+09:00,2027-09-21T14:30:00+09:00
EMP_C0253,C0253,2027-04-02T16:00:00+09:00,2027-04-02T16:00:00+09:00,2027-09-29T16:00:00+09:00
EMP_C0215,C0215,2027-04-03T11:50:00+09:00,2027-04-03T11:50:00+09:00,2027-09-30T11:50:00+09:00
EMP_C0285,C0285,2027-03-31T14:05:00+09:00,2027-03-31T14:05:00+09:00,2027-09-27T14:05:00+09:00
EMP_C0246,C0246,2027-03-26T16:25:00+09:00,2027-03-26T16:25:00+09:00,2027-09-22T16:25:00+09:00
EMP_C0297,C0297,2027-04-10T18:30:00+09:00,2027-04-10T18:30:00+09:00,2027-10-07T18:30:00+09:00
EMP_C0319,C0319,2027-04-06T15:45:00+09:00,2027-04-06T15:45:00+09:00,2027-10-03T15:45:00+09:00
EMP_C0300,C0300,2027-03-26T13:35:00+09:00,2027-03-26T13:35:00+09:00,2027-09-22T13:35:00+09:00
EMP_C0272,C0272,2027-04-02T12:20:00+09:00,2027-04-02T12:20:00+09:00,2027-09-29T12:20:00+09:00
EMP_C0265,C0265,2027-04-12T12:45:00+09:00,2027-04-12T12:45:00+09:00,2027-10-09T12:45:00+09:00
EMP_C0314,C0314,2027-04-24T12:55:00+09:00,2027-04-24T12:55:00+09:00,2027-10-21T12:55:00+09:00
