final_decision_id,application_id,candidate_id,must_evidence_status,remaining_uncertainty,learnable_gap_summary,decision,rationale,decided_by,decided_at,decision_provenance
FD_APP0098,APP0098,C0098,UNRESOLVED,"[""M1_SKILL_01"",""M1_SKILL_02"",""M1_SKILL_03""]","[""M1_SKILL_06""]",HOLD,"{""decision_refs"":[""DC_APP0098_M1_SKILL_01_005652"",""DC_APP0098_M1_SKILL_02_005653"",""DC_APP0098_M1_SKILL_03_005654"",""DC_APP0098_M1_SKILL_04_005655"",""DC_APP0098_M1_SKILL_05_005656""],""learnable_gaps"":[""M1_SKILL_06""],""repeated_must_limitations"":[],""rubric_id"":""M1_EVIDENCE_RUBRIC_V01"",""talent_profile"":""talent_profile.json"",""unresolved_must"":[""M1_SKILL_01"",""M1_SKILL_02"",""M1_SKILL_03""]}",FINAL_PANEL_01,2027-03-14T11:55:00+09:00,SYNTHETIC_HUMAN_SCENARIO
FD_APP0035,APP0035,C0035,UNRESOLVED,"[""M1_SKILL_04"",""M1_SKILL_05""]",[],HOLD,"{""decision_refs"":[""DC_APP0035_M1_SKILL_01_005661"",""DC_APP0035_M1_SKILL_02_005662"",""DC_APP0035_M1_SKILL_03_005663"",""DC_APP0035_M1_SKILL_04_005664"",""DC_APP0035_M1_SKILL_05_005665""],""learnable_gaps"":[],""repeated_must_limitations"":[],""rubric_id"":""M1_EVIDENCE_RUBRIC_V01"",""talent_profile"":""talent_profile.json"",""unresolved_must"":[""M1_SKILL_04"",""M1_SKILL_05""]}",FINAL_PANEL_01,2027-03-16T12:00:00+09:00,SYNTHETIC_HUMAN_SCENARIO
FD_APP0033,APP0033,C0033,UNRESOLVED,"[""M1_SKILL_03"",""M1_SKILL_05""]",[],HOLD,"{""decision_refs"":[""DC_APP0033_M1_SKILL_01_005670"",""DC_APP0033_M1_SKILL_02_005671"",""DC_APP0033_M1_SKILL_03_005672"",""DC_APP0033_M1_SKILL_04_005673"",""DC_APP0033_M1_SKILL_05_005674""],""learnable_gaps"":[],""repeated_must_limitations"":[],""rubric_id"":""M1_EVIDENCE_RUBRIC_V01"",""talent_profile"":""talent_profile.json"",""unresolved_must"":[""M1_SKILL_03"",""M1_SKILL_05""]}",FINAL_PANEL_01,2027-03-28T12:00:00+09:00,SYNTHETIC_HUMAN_SCENARIO
FD_APP0048,APP0048,C0048,UNRESOLVED,"[""M1_SKILL_01"",""M1_SKILL_02"",""M1_SKILL_03"",""M1_SKILL_04""]",[],HOLD,"{""decision_refs"":[""DC_APP0048_M1_SKILL_01_005679"",""DC_APP0048_M1_SKILL_02_005680"",""DC_APP0048_M1_SKILL_03_005681"",""DC_APP0048_M1_SKILL_04_005682"",""DC_APP0048_M1_SKILL_05_005683""],""learnable_gaps"":[],""repeated_must_limitations"":[],""rubric_id"":""M1_EVIDENCE_RUBRIC_V01"",""talent_profile"":""talent_profile.json"",""unresolved_must"":[""M1_SKILL_01"",""M1_SKILL_02"",""M1_SKILL_03"",""M1_SKILL_04""]}",FINAL_PANEL_01,2027-03-23T12:05:00+09:00,SYNTHETIC_HUMAN_SCENARIO
FD_APP0170,APP0170,C0170,UNRESOLVED,"[""M1_SKILL_02"",""M1_SKILL_03"",""M1_SKILL_04"",""M1_SKILL_05""]",[],HOLD,"{""decision_refs"":[""DC_APP0170_M1_SKILL_01_005688"",""DC_APP0170_M1_SKILL_02_005689"",""DC_APP0170_M1_SKILL_03_005690"",""DC_APP0170_M1_SKILL_04_005691"",""DC_APP0170_M1_SKILL_05_005692""],""learnable_gaps"":[],""repeated_must_limitations"":[],""rubric_id"":""M1_EVIDENCE_RUBRIC_V01"",""talent_profile"":""talent_profile.json"",""unresolved_must"":[""M1_SKILL_02"",""M1_SKILL_03"",""M1_SKILL_04"",""M1_SKILL_05""]}",FINAL_PANEL_01,2027-04-10T11:45:00+09:00,SYNTHETIC_HUMAN_SCENARIO
FD_APP0063,APP0063,C0063,UNRESOLVED,"[""M1_SKILL_01"",""M1_SKILL_03"",""M1_SKILL_04""]",[],HOLD,"{""decision_refs"":[""DC_APP0063_M1_SKILL_01_005697"",""DC_APP0063_M1_SKILL_02_005698"",""DC_APP0063_M1_SKILL_03_005699"",""DC_APP0063_M1_SKILL_04_005700"",""DC_APP0063_M1_SKILL_05_005701""],""learnable_gaps"":[],""repeated_must_limitations"":[],""rubric_id"":""M1_EVIDENCE_RUBRIC_V01"",""talent_profile"":""talent_profile.json"",""unresolved_must"":[""M1_SKILL_01"",""M1_SKILL_03"",""M1_SKILL_04""]}",FINAL_PANEL_01,2027-04-13T12:15:00+09:00,SYNTHETIC_HUMAN_SCENARIO
FD_APP0021,APP0021,C0021,UNRESOLVED,"[""M1_SKILL_02"",""M1_SKILL_05""]",[],HOLD,"{""decision_refs"":[""DC_APP0021_M1_SKILL_01_005706"",""DC_APP0021_M1_SKILL_02_005707"",""DC_APP0021_M1_SKILL_03_005708"",""DC_APP0021_M1_SKILL_04_005709"",""DC_APP0021_M1_SKILL_05_005710""],""learnable_gaps"":[],""repeated_must_limitations"":[],""rubric_id"":""M1_EVIDENCE_RUBRIC_V01"",""talent_profile"":""talent_profile.json"",""unresolved_must"":[""M1_SKILL_02"",""M1_SKILL_05""]}",FINAL_PANEL_01,2027-04-14T12:00:00+09:00,SYNTHETIC_HUMAN_SCENARIO
FD_APP0031,APP0031,C0031,UNRESOLVED,"[""M1_SKILL_01"",""M1_SKILL_02""]",[],HOLD,"{""decision_refs"":[""DC_APP0031_M1_SKILL_01_005715"",""DC_APP0031_M1_SKILL_02_005716"",""DC_APP0031_M1_SKILL_03_005717"",""DC_APP0031_M1_SKILL_04_005718"",""DC_APP0031_M1_SKILL_05_005719""],""learnable_gaps"":[],""repeated_must_limitations"":[],""rubric_id"":""M1_EVIDENCE_RUBRIC_V01"",""talent_profile"":""talent_profile.json"",""unresolved_must"":[""M1_SKILL_01"",""M1_SKILL_02""]}",FINAL_PANEL_01,2027-04-24T12:00:00+09:00,SYNTHETIC_HUMAN_SCENARIO
FD_APP0040,APP0040,C0040,UNRESOLVED,"[""M1_SKILL_01"",""M1_SKILL_02"",""M1_SKILL_03""]",[],HOLD,"{""decision_refs"":[""DC_APP0040_M1_SKILL_01_005724"",""DC_APP0040_M1_SKILL_02_005725"",""DC_APP0040_M1_SKILL_03_005726"",""DC_APP0040_M1_SKILL_04_005727"",""DC_APP0040_M1_SKILL_05_005728""],""learnable_gaps"":[],""repeated_must_limitations"":[],""rubric_id"":""M1_EVIDENCE_RUBRIC_V01"",""talent_profile"":""talent_profile.json"",""unresolved_must"":[""M1_SKILL_01"",""M1_SKILL_02"",""M1_SKILL_03""]}",FINAL_PANEL_01,2027-05-04T11:50:00+09:00,SYNTHETIC_HUMAN_SCENARIO
FD_APP0150,APP0150,C0150,UNRESOLVED,"[""M1_SKILL_03"",""M1_SKILL_04""]",[],HOLD,"{""decision_refs"":[""DC_APP0150_M1_SKILL_01_005733"",""DC_APP0150_M1_SKILL_02_005734"",""DC_APP0150_M1_SKILL_03_005735"",""DC_APP0150_M1_SKILL_04_005736"",""DC_APP0150_M1_SKILL_05_005737""],""learnable_gaps"":[],""repeated_must_limitations"":[],""rubric_id"":""M1_EVIDENCE_RUBRIC_V01"",""talent_profile"":""talent_profile.json"",""unresolved_must"":[""M1_SKILL_03"",""M1_SKILL_04""]}",FINAL_PANEL_01,2027-05-08T12:15:00+09:00,SYNTHETIC_HUMAN_SCENARIO
FD_APP0039,APP0039,C0039,UNRESOLVED,"[""M1_SKILL_02"",""M1_SKILL_03""]",[],HOLD,"{""decision_refs"":[""DC_APP0039_M1_SKILL_01_005742"",""DC_APP0039_M1_SKILL_02_005743"",""DC_APP0039_M1_SKILL_03_005744"",""DC_APP0039_M1_SKILL_04_005745"",""DC_APP0039_M1_SKILL_05_005746""],""learnable_gaps"":[],""repeated_must_limitations"":[],""rubric_id"":""M1_EVIDENCE_RUBRIC_V01"",""talent_profile"":""talent_profile.json"",""unresolved_must"":[""M1_SKILL_02"",""M1_SKILL_03""]}",FINAL_PANEL_01,2027-05-11T11:45:00+09:00,SYNTHETIC_HUMAN_SCENARIO
FD_APP0128,APP0128,C0128,UNRESOLVED,"[""M1_SKILL_01"",""M1_SKILL_04"",""M1_SKILL_05""]",[],HOLD,"{""decision_refs"":[""DC_APP0128_M1_SKILL_01_005751"",""DC_APP0128_M1_SKILL_02_005752"",""DC_APP0128_M1_SKILL_03_005753"",""DC_APP0128_M1_SKILL_04_005754"",""DC_APP0128_M1_SKILL_05_005755""],""learnable_gaps"":[],""repeated_must_limitations"":[],""rubric_id"":""M1_EVIDENCE_RUBRIC_V01"",""talent_profile"":""talent_profile.json"",""unresolved_must"":[""M1_SKILL_01"",""M1_SKILL_04"",""M1_SKILL_05""]}",FINAL_PANEL_01,2027-05-12T12:05:00+09:00,SYNTHETIC_HUMAN_SCENARIO
FD_APP0046,APP0046,C0046,UNRESOLVED,"[""M1_SKILL_01"",""M1_SKILL_02"",""M1_SKILL_03"",""M1_SKILL_04""]",[],HOLD,"{""decision_refs"":[""DC_APP0046_M1_SKILL_01_005760"",""DC_APP0046_M1_SKILL_02_005761"",""DC_APP0046_M1_SKILL_03_005762"",""DC_APP0046_M1_SKILL_04_005763"",""DC_APP0046_M1_SKILL_05_005764""],""learnable_gaps"":[],""repeated_must_limitations"":[],""rubric_id"":""M1_EVIDENCE_RUBRIC_V01"",""talent_profile"":""talent_profile.json"",""unresolved_must"":[""M1_SKILL_01"",""M1_SKILL_02"",""M1_SKILL_03"",""M1_SKILL_04""]}",FINAL_PANEL_01,2027-05-26T11:35:00+09:00,SYNTHETIC_HUMAN_SCENARIO
FD_APP0076,APP0076,C0076,UNRESOLVED,"[""M1_SKILL_01"",""M1_SKILL_04""]",[],HOLD,"{""decision_refs"":[""DC_APP0076_M1_SKILL_01_005769"",""DC_APP0076_M1_SKILL_02_005770"",""DC_APP0076_M1_SKILL_03_005771"",""DC_APP0076_M1_SKILL_04_005772"",""DC_APP0076_M1_SKILL_05_005773""],""learnable_gaps"":[],""repeated_must_limitations"":[],""rubric_id"":""M1_EVIDENCE_RUBRIC_V01"",""talent_profile"":""talent_profile.json"",""unresolved_must"":[""M1_SKILL_01"",""M1_SKILL_04""]}",FINAL_PANEL_01,2027-05-25T12:15:00+09:00,SYNTHETIC_HUMAN_SCENARIO
FD_APP0043,APP0043,C0043,UNRESOLVED,"[""M1_SKILL_02"",""M1_SKILL_03"",""M1_SKILL_04"",""M1_SKILL_05""]",[],HOLD,"{""decision_refs"":[""DC_APP0043_M1_SKILL_01_005778"",""DC_APP0043_M1_SKILL_02_005779"",""DC_APP0043_M1_SKILL_03_005780"",""DC_APP0043_M1_SKILL_04_005781"",""DC_APP0043_M1_SKILL_05_005782""],""learnable_gaps"":[],""repeated_must_limitations"":[],""rubric_id"":""M1_EVIDENCE_RUBRIC_V01"",""talent_profile"":""talent_profile.json"",""unresolved_must"":[""M1_SKILL_02"",""M1_SKILL_03"",""M1_SKILL_04"",""M1_SKILL_05""]}",FINAL_PANEL_01,2027-06-04T12:00:00+09:00,SYNTHETIC_HUMAN_SCENARIO
FD_APP0163,APP0163,C0163,UNRESOLVED,"[""M1_SKILL_01"",""M1_SKILL_03""]",[],HOLD,"{""decision_refs"":[""DC_APP0163_M1_SKILL_01_005787"",""DC_APP0163_M1_SKILL_02_005788"",""DC_APP0163_M1_SKILL_03_005789"",""DC_APP0163_M1_SKILL_04_005790"",""DC_APP0163_M1_SKILL_05_005791""],""learnable_gaps"":[],""repeated_must_limitations"":[],""rubric_id"":""M1_EVIDENCE_RUBRIC_V01"",""talent_profile"":""talent_profile.json"",""unresolved_must"":[""M1_SKILL_01"",""M1_SKILL_03""]}",FINAL_PANEL_01,2027-06-15T11:45:00+09:00,SYNTHETIC_HUMAN_SCENARIO
FD_APP0124,APP0124,C0124,COVERED,[],"[""M1_SKILL_06""]",PROCEED_TO_OFFER,"{""decision_refs"":[""DC_APP0124_M1_SKILL_01_005796"",""DC_APP0124_M1_SKILL_02_005797"",""DC_APP0124_M1_SKILL_03_005798"",""DC_APP0124_M1_SKILL_04_005799"",""DC_APP0124_M1_SKILL_05_005800""],""learnable_gaps"":[""M1_SKILL_06""],""repeated_must_limitations"":[],""rubric_id"":""M1_EVIDENCE_RUBRIC_V01"",""talent_profile"":""talent_profile.json"",""unresolved_must"":[]}",FINAL_PANEL_01,2027-06-16T11:55:00+09:00,SYNTHETIC_HUMAN_SCENARIO
FD_APP0134,APP0134,C0134,UNRESOLVED,"[""M1_SKILL_04"",""M1_SKILL_05""]","[""M1_SKILL_06""]",HOLD,"{""decision_refs"":[""DC_APP0134_M1_SKILL_01_005805"",""DC_APP0134_M1_SKILL_02_005806"",""DC_APP0134_M1_SKILL_03_005807"",""DC_APP0134_M1_SKILL_04_005808"",""DC_APP0134_M1_SKILL_05_005809""],""learnable_gaps"":[""M1_SKILL_06""],""repeated_must_limitations"":[],""rubric_id"":""M1_EVIDENCE_RUBRIC_V01"",""talent_profile"":""talent_profile.json"",""unresolved_must"":[""M1_SKILL_04"",""M1_SKILL_05""]}",FINAL_PANEL_01,2027-06-23T11:45:00+09:00,SYNTHETIC_HUMAN_SCENARIO
FD_APP0018,APP0018,C0018,UNRESOLVED,"[""M1_SKILL_01""]","[""M1_SKILL_06""]",HOLD,"{""decision_refs"":[""DC_APP0018_M1_SKILL_01_005814"",""DC_APP0018_M1_SKILL_02_005815"",""DC_APP0018_M1_SKILL_03_005816"",""DC_APP0018_M1_SKILL_04_005817"",""DC_APP0018_M1_SKILL_05_005818""],""learnable_gaps"":[""M1_SKILL_06""],""repeated_must_limitations"":[],""rubric_id"":""M1_EVIDENCE_RUBRIC_V01"",""talent_profile"":""talent_profile.json"",""unresolved_must"":[""M1_SKILL_01""]}",FINAL_PANEL_01,2027-06-26T12:05:00+09:00,SYNTHETIC_HUMAN_SCENARIO
FD_APP0141,APP0141,C0141,UNRESOLVED,"[""M1_SKILL_02""]",[],HOLD,"{""decision_refs"":[""DC_APP0141_M1_SKILL_01_005823"",""DC_APP0141_M1_SKILL_02_005824"",""DC_APP0141_M1_SKILL_03_005825"",""DC_APP0141_M1_SKILL_04_005826"",""DC_APP0141_M1_SKILL_05_005827""],""learnable_gaps"":[],""repeated_must_limitations"":[],""rubric_id"":""M1_EVIDENCE_RUBRIC_V01"",""talent_profile"":""talent_profile.json"",""unresolved_must"":[""M1_SKILL_02""]}",FINAL_PANEL_01,2027-06-23T11:50:00+09:00,SYNTHETIC_HUMAN_SCENARIO
FD_APP0012,APP0012,C0012,UNRESOLVED,"[""M1_SKILL_01"",""M1_SKILL_04""]",[],HOLD,"{""decision_refs"":[""DC_APP0012_M1_SKILL_01_005832"",""DC_APP0012_M1_SKILL_02_005833"",""DC_APP0012_M1_SKILL_03_005834"",""DC_APP0012_M1_SKILL_04_005835"",""DC_APP0012_M1_SKILL_05_005836""],""learnable_gaps"":[],""repeated_must_limitations"":[],""rubric_id"":""M1_EVIDENCE_RUBRIC_V01"",""talent_profile"":""talent_profile.json"",""unresolved_must"":[""M1_SKILL_01"",""M1_SKILL_04""]}",FINAL_PANEL_01,2027-07-01T11:55:00+09:00,SYNTHETIC_HUMAN_SCENARIO
FD_APP0220,APP0220,C0220,UNRESOLVED,"[""M1_SKILL_01"",""M1_SKILL_05""]",[],HOLD,"{""decision_refs"":[""DC_APP0220_M1_SKILL_01_005841"",""DC_APP0220_M1_SKILL_02_005842"",""DC_APP0220_M1_SKILL_03_005843"",""DC_APP0220_M1_SKILL_04_005844"",""DC_APP0220_M1_SKILL_05_005845""],""learnable_gaps"":[],""repeated_must_limitations"":[],""rubric_id"":""M1_EVIDENCE_RUBRIC_V01"",""talent_profile"":""talent_profile.json"",""unresolved_must"":[""M1_SKILL_01"",""M1_SKILL_05""]}",FINAL_PANEL_01,2027-07-10T12:05:00+09:00,SYNTHETIC_HUMAN_SCENARIO
FD_APP0162,APP0162,C0162,UNRESOLVED,"[""M1_SKILL_02"",""M1_SKILL_03"",""M1_SKILL_04""]",[],HOLD,"{""decision_refs"":[""DC_APP0162_M1_SKILL_01_005850"",""DC_APP0162_M1_SKILL_02_005851"",""DC_APP0162_M1_SKILL_03_005852"",""DC_APP0162_M1_SKILL_04_005853"",""DC_APP0162_M1_SKILL_05_005854""],""learnable_gaps"":[],""repeated_must_limitations"":[],""rubric_id"":""M1_EVIDENCE_RUBRIC_V01"",""talent_profile"":""talent_profile.json"",""unresolved_must"":[""M1_SKILL_02"",""M1_SKILL_03"",""M1_SKILL_04""]}",FINAL_PANEL_01,2027-07-14T11:55:00+09:00,SYNTHETIC_HUMAN_SCENARIO
FD_APP0205,APP0205,C0205,UNRESOLVED,"[""M1_SKILL_03""]",[],HOLD,"{""decision_refs"":[""DC_APP0205_M1_SKILL_01_005859"",""DC_APP0205_M1_SKILL_02_005860"",""DC_APP0205_M1_SKILL_03_005861"",""DC_APP0205_M1_SKILL_04_005862"",""DC_APP0205_M1_SKILL_05_005863""],""learnable_gaps"":[],""repeated_must_limitations"":[],""rubric_id"":""M1_EVIDENCE_RUBRIC_V01"",""talent_profile"":""talent_profile.json"",""unresolved_must"":[""M1_SKILL_03""]}",FINAL_PANEL_01,2027-07-13T11:45:00+09:00,SYNTHETIC_HUMAN_SCENARIO
FD_APP0151,APP0151,C0151,UNRESOLVED,"[""M1_SKILL_04"",""M1_SKILL_05""]",[],HOLD,"{""decision_refs"":[""DC_APP0151_M1_SKILL_01_005868"",""DC_APP0151_M1_SKILL_02_005869"",""DC_APP0151_M1_SKILL_03_005870"",""DC_APP0151_M1_SKILL_04_005871"",""DC_APP0151_M1_SKILL_05_005872""],""learnable_gaps"":[],""repeated_must_limitations"":[],""rubric_id"":""M1_EVIDENCE_RUBRIC_V01"",""talent_profile"":""talent_profile.json"",""unresolved_must"":[""M1_SKILL_04"",""M1_SKILL_05""]}",FINAL_PANEL_01,2027-07-15T11:40:00+09:00,SYNTHETIC_HUMAN_SCENARIO
