gap_id,employee_id,skill_id,gap_level,gap_source,source_evidence_id,final_decision_id,requirement_ref,rationale,confirmed_by,confirmed_at,decision_provenance
GAP_EMP_C0175_M1_SKILL_03,EMP_C0175,M1_SKILL_03,RECONFIRM_AT_WORK,SELECTION_EVIDENCE,EV_APP0175_FIRST_INTERVIEW_AI_CASE_M1_SKILL_03,FD_APP0175_INITIAL,LOCAL_PIPELINE_HANDOFF,입사 후 로컬 배치 입력·복구 검증과 인수인계,MENTOR_POOL_01,2027-03-19T11:10:00+09:00,SYNTHETIC_HUMAN_SCENARIO
GAP_EMP_C0175_M1_SKILL_05,EMP_C0175,M1_SKILL_05,RECONFIRM_AT_WORK,SELECTION_EVIDENCE,EV_APP0175_SECOND_INTERVIEW_VALUES_BEHAVIOR_INTERVIEW_M1_SKILL_05,FD_APP0175_INITIAL,LOCAL_TEAM_HANDOFF,입사 후 코드 리뷰·담당 범위 인수인계,MENTOR_POOL_01,2027-03-19T11:10:00+09:00,SYNTHETIC_HUMAN_SCENARIO
GAP_EMP_C0175_M1_SKILL_06,EMP_C0175,M1_SKILL_06,DEVELOPMENT_REQUIRED,SELECTION_EVIDENCE,EV_APP0175_FIRST_INTERVIEW_PRACTITIONER_QA_M1_SKILL_06,FD_APP0175_INITIAL,FINAL_LEARNABLE_GAP,Final Review의 학습 가능한 업무 Gap,MENTOR_POOL_01,2027-03-19T11:10:00+09:00,SYNTHETIC_HUMAN_SCENARIO
GAP_EMP_C0181_M1_SKILL_03,EMP_C0181,M1_SKILL_03,RECONFIRM_AT_WORK,SELECTION_EVIDENCE,EV_APP0181_FIRST_INTERVIEW_AI_CASE_M1_SKILL_03,FD_APP0181_INITIAL,LOCAL_PIPELINE_HANDOFF,입사 후 로컬 배치 입력·복구 검증과 인수인계,MENTOR_POOL_01,2027-03-20T11:35:00+09:00,SYNTHETIC_HUMAN_SCENARIO
GAP_EMP_C0186_M1_SKILL_03,EMP_C0186,M1_SKILL_03,RECONFIRM_AT_WORK,SELECTION_EVIDENCE,EV_APP0186_FIRST_INTERVIEW_AI_CASE_M1_SKILL_03,FD_APP0186_INITIAL,LOCAL_PIPELINE_HANDOFF,입사 후 로컬 배치 입력·복구 검증과 인수인계,MENTOR_POOL_01,2027-03-13T11:35:00+09:00,SYNTHETIC_HUMAN_SCENARIO
GAP_EMP_C0186_M1_SKILL_05,EMP_C0186,M1_SKILL_05,RECONFIRM_AT_WORK,SELECTION_EVIDENCE,EV_APP0186_SECOND_INTERVIEW_VALUES_BEHAVIOR_INTERVIEW_M1_SKILL_05,FD_APP0186_INITIAL,LOCAL_TEAM_HANDOFF,입사 후 코드 리뷰·담당 범위 인수인계,MENTOR_POOL_01,2027-03-13T11:35:00+09:00,SYNTHETIC_HUMAN_SCENARIO
GAP_EMP_C0186_M1_SKILL_06,EMP_C0186,M1_SKILL_06,DEVELOPMENT_REQUIRED,SELECTION_EVIDENCE,EV_APP0186_FIRST_INTERVIEW_PRACTITIONER_QA_M1_SKILL_06,FD_APP0186_INITIAL,FINAL_LEARNABLE_GAP,Final Review의 학습 가능한 업무 Gap,MENTOR_POOL_01,2027-03-13T11:35:00+09:00,SYNTHETIC_HUMAN_SCENARIO
GAP_EMP_C0182_M1_SKILL_06,EMP_C0182,M1_SKILL_06,DEVELOPMENT_REQUIRED,SELECTION_EVIDENCE,EV_APP0182_FIRST_INTERVIEW_PRACTITIONER_QA_M1_SKILL_06,FD_APP0182_INITIAL,FINAL_LEARNABLE_GAP,Final Review의 학습 가능한 업무 Gap,MENTOR_POOL_01,2027-03-10T11:00:00+09:00,SYNTHETIC_HUMAN_SCENARIO
GAP_EMP_C0225_M1_SKILL_06,EMP_C0225,M1_SKILL_06,DEVELOPMENT_REQUIRED,SELECTION_EVIDENCE,EV_APP0225_FIRST_INTERVIEW_PRACTITIONER_QA_M1_SKILL_06,FD_APP0225_INITIAL,FINAL_LEARNABLE_GAP,Final Review의 학습 가능한 업무 Gap,MENTOR_POOL_01,2027-03-12T12:05:00+09:00,SYNTHETIC_HUMAN_SCENARIO
GAP_EMP_C0215_M1_SKILL_03,EMP_C0215,M1_SKILL_03,RECONFIRM_AT_WORK,SELECTION_EVIDENCE,EV_APP0215_FIRST_INTERVIEW_AI_CASE_M1_SKILL_03,FD_APP0215_INITIAL,LOCAL_PIPELINE_HANDOFF,입사 후 로컬 배치 입력·복구 검증과 인수인계,MENTOR_POOL_01,2027-03-28T10:50:00+09:00,SYNTHETIC_HUMAN_SCENARIO
GAP_EMP_C0215_M1_SKILL_05,EMP_C0215,M1_SKILL_05,RECONFIRM_AT_WORK,SELECTION_EVIDENCE,EV_APP0215_SECOND_INTERVIEW_VALUES_BEHAVIOR_INTERVIEW_M1_SKILL_05,FD_APP0215_INITIAL,LOCAL_TEAM_HANDOFF,입사 후 코드 리뷰·담당 범위 인수인계,MENTOR_POOL_01,2027-03-28T10:50:00+09:00,SYNTHETIC_HUMAN_SCENARIO
GAP_EMP_C0238_M1_SKILL_03,EMP_C0238,M1_SKILL_03,RECONFIRM_AT_WORK,SELECTION_EVIDENCE,EV_APP0238_FIRST_INTERVIEW_AI_CASE_M1_SKILL_03,FD_APP0238_INITIAL,LOCAL_PIPELINE_HANDOFF,입사 후 로컬 배치 입력·복구 검증과 인수인계,MENTOR_POOL_01,2027-03-27T11:10:00+09:00,SYNTHETIC_HUMAN_SCENARIO
GAP_EMP_C0238_M1_SKILL_05,EMP_C0238,M1_SKILL_05,RECONFIRM_AT_WORK,SELECTION_EVIDENCE,EV_APP0238_SECOND_INTERVIEW_VALUES_BEHAVIOR_INTERVIEW_M1_SKILL_05,FD_APP0238_INITIAL,LOCAL_TEAM_HANDOFF,입사 후 코드 리뷰·담당 범위 인수인계,MENTOR_POOL_01,2027-03-27T11:10:00+09:00,SYNTHETIC_HUMAN_SCENARIO
GAP_EMP_C0238_M1_SKILL_06,EMP_C0238,M1_SKILL_06,DEVELOPMENT_REQUIRED,SELECTION_EVIDENCE,EV_APP0238_FIRST_INTERVIEW_PRACTITIONER_QA_M1_SKILL_06,FD_APP0238_INITIAL,FINAL_LEARNABLE_GAP,Final Review의 학습 가능한 업무 Gap,MENTOR_POOL_01,2027-03-27T11:10:00+09:00,SYNTHETIC_HUMAN_SCENARIO
GAP_EMP_C0300_M1_SKILL_06,EMP_C0300,M1_SKILL_06,DEVELOPMENT_REQUIRED,SELECTION_EVIDENCE,EV_APP0300_FIRST_INTERVIEW_PRACTITIONER_QA_M1_SKILL_06,FD_APP0300_INITIAL,FINAL_LEARNABLE_GAP,Final Review의 학습 가능한 업무 Gap,MENTOR_POOL_01,2027-03-24T11:10:00+09:00,SYNTHETIC_HUMAN_SCENARIO
GAP_EMP_C0272_M1_SKILL_03,EMP_C0272,M1_SKILL_03,RECONFIRM_AT_WORK,SELECTION_EVIDENCE,EV_APP0272_FIRST_INTERVIEW_AI_CASE_M1_SKILL_03,FD_APP0272_INITIAL,LOCAL_PIPELINE_HANDOFF,입사 후 로컬 배치 입력·복구 검증과 인수인계,MENTOR_POOL_01,2027-04-05T11:00:00+09:00,SYNTHETIC_HUMAN_SCENARIO
GAP_EMP_C0272_M1_SKILL_05,EMP_C0272,M1_SKILL_05,RECONFIRM_AT_WORK,SELECTION_EVIDENCE,EV_APP0272_SECOND_INTERVIEW_VALUES_BEHAVIOR_INTERVIEW_M1_SKILL_05,FD_APP0272_INITIAL,LOCAL_TEAM_HANDOFF,입사 후 코드 리뷰·담당 범위 인수인계,MENTOR_POOL_01,2027-04-05T11:00:00+09:00,SYNTHETIC_HUMAN_SCENARIO
